,method,pretrain_model,training_ratio,level_3,mAP,rmse
0,finetune,SuperAnimal,0.01,shuffle0,0.9556177341160329,3.958950266841473
1,finetune,SuperAnimal,0.01,shuffle1,0.8650924502388126,6.251743521127357
2,finetune,SuperAnimal,0.01,shuffle2,0.8117509609738351,8.931253711149626
3,finetune,SuperAnimal,0.05,shuffle0,0.972033736707004,2.8762185933000652
4,finetune,SuperAnimal,0.05,shuffle1,0.9534765762290516,3.073972852956192
5,finetune,SuperAnimal,0.05,shuffle2,0.8658828382838285,5.970105367021984
6,finetune,SuperAnimal,0.1,shuffle0,0.9797579757975797,2.5796728958762993
7,finetune,SuperAnimal,0.1,shuffle1,0.9801980198019802,2.526270586737765
8,finetune,SuperAnimal,0.1,shuffle2,0.9554709317085556,3.6652972153521413
9,finetune,SuperAnimal,0.5,shuffle0,1.0,1.6219939520872357
10,finetune,SuperAnimal,0.5,shuffle1,0.9636230289695636,2.5329670661441215
11,finetune,SuperAnimal,0.5,shuffle2,0.9878522467631379,2.482880121060396
12,finetune,SuperAnimal,1.0,shuffle0,0.9916603198781416,1.6198579856317943
13,finetune,SuperAnimal,1.0,shuffle1,0.996039603960396,1.921542589688869
14,finetune,SuperAnimal,1.0,shuffle2,1.0,2.22512884694683
15,memory-replay,SuperAnimal,0.01,shuffle0,0.9675834250091676,4.135311389811121
16,memory-replay,SuperAnimal,0.01,shuffle1,0.8975643564356435,5.3163626219287465
17,memory-replay,SuperAnimal,0.01,shuffle2,0.7964846484648465,17.36041494107847
18,memory-replay,SuperAnimal,0.05,shuffle0,0.9554088742207554,3.7859213917896364
19,memory-replay,SuperAnimal,0.05,shuffle1,0.9377380045696878,3.4791309793790277
20,memory-replay,SuperAnimal,0.05,shuffle2,0.8431188118811881,6.595390141418852
21,memory-replay,SuperAnimal,0.1,shuffle0,0.9872020535386873,2.5118094996450386
22,memory-replay,SuperAnimal,0.1,shuffle1,0.9756508984231756,2.7155577429164595
23,memory-replay,SuperAnimal,0.1,shuffle2,0.9622676934360103,3.481701035220089
24,memory-replay,SuperAnimal,0.5,shuffle0,0.9957462412907957,1.6646355588428796
25,memory-replay,SuperAnimal,0.5,shuffle1,0.9683168316831683,2.4557083880893074
26,memory-replay,SuperAnimal,0.5,shuffle2,0.9728103579588728,2.781439751102926
27,memory-replay,SuperAnimal,1.0,shuffle0,1.0,1.5538991836520542
28,memory-replay,SuperAnimal,1.0,shuffle1,0.9718371837183718,2.418508720443721
29,memory-replay,SuperAnimal,1.0,shuffle2,0.9874719471947195,2.50551192707619
30,transfer-learning,ImageNet,0.01,shuffle0,0.2763394508402631,27.058424562167495
31,transfer-learning,ImageNet,0.01,shuffle1,0.36981621993270225,24.577578617299665
32,transfer-learning,ImageNet,0.01,shuffle2,0.13732963406230733,43.048617592532885
33,transfer-learning,ImageNet,0.05,shuffle0,0.9114501265065191,5.301259695324059
34,transfer-learning,ImageNet,0.05,shuffle1,0.8648212410755143,5.497932715782297
35,transfer-learning,ImageNet,0.05,shuffle2,0.7248103032771213,9.981500955039934
36,transfer-learning,ImageNet,0.1,shuffle0,0.9785568077432046,2.4476483432215135
37,transfer-learning,ImageNet,0.1,shuffle1,0.9622694153473319,3.2487164793751346
38,transfer-learning,ImageNet,0.1,shuffle2,0.8415971860343929,6.922188389236256
39,transfer-learning,ImageNet,0.5,shuffle0,1.0,1.566738262908951
40,transfer-learning,ImageNet,0.5,shuffle1,0.9745507884121746,2.349623087313417
41,transfer-learning,ImageNet,0.5,shuffle2,0.9811881188118812,2.6975719062348946
42,transfer-learning,ImageNet,1.0,shuffle0,0.9958929226255959,1.6303030205977553
43,transfer-learning,ImageNet,1.0,shuffle1,0.9672844207497672,2.4483302018262374
44,transfer-learning,ImageNet,1.0,shuffle2,0.9687202053538687,2.7501383186542463
45,transfer-learning,SuperAnimal,0.01,shuffle0,0.7010405048874228,10.613071746047806
46,transfer-learning,SuperAnimal,0.01,shuffle1,0.8947255442554172,5.975861813571998
47,transfer-learning,SuperAnimal,0.01,shuffle2,0.782990183633748,9.632200027583599
48,transfer-learning,SuperAnimal,0.05,shuffle0,0.9560657068802857,3.6095813590768064
49,transfer-learning,SuperAnimal,0.05,shuffle1,0.9201005331302361,3.8951741364013106
50,transfer-learning,SuperAnimal,0.05,shuffle2,0.8088066944157639,7.098355475462049
51,transfer-learning,SuperAnimal,0.1,shuffle0,0.9815181518151814,2.2495239313617286
52,transfer-learning,SuperAnimal,0.1,shuffle1,0.9744774477447744,2.7034932240305736
53,transfer-learning,SuperAnimal,0.1,shuffle2,0.9019705950528163,5.294868547974484
54,transfer-learning,SuperAnimal,0.5,shuffle0,0.996039603960396,1.6697732911730416
55,transfer-learning,SuperAnimal,0.5,shuffle1,0.9718371837183718,2.3822626627657044
56,transfer-learning,SuperAnimal,0.5,shuffle2,0.9672763109644298,2.6845010631536406
57,transfer-learning,SuperAnimal,1.0,shuffle0,1.0,1.5147956574884032
58,transfer-learning,SuperAnimal,1.0,shuffle1,0.9835716905023836,2.0801069024216146
59,transfer-learning,SuperAnimal,1.0,shuffle2,0.9811881188118812,2.5619572570931943
60,zeroshot,SuperAnimal,1.0,shuffle0,0.7805590741983395,8.322182643982815
61,zeroshot,SuperAnimal,1.0,shuffle1,0.7694191419141915,8.372635088057562
62,zeroshot,SuperAnimal,1.0,shuffle2,0.7341874715421853,10.34398995506638
